table_name,field_name,db2_data_type,generic_data_type,schema_name,column_position,data_length,decimal_precision,decimal_scale,nullable,default_value,primary_key,foreign_key_schema,foreign_key_table,foreign_key_column,check_constraint,type,business_definition
AUTHFRDS,CARD_NUM,CHAR,ALPHANUMERIC,CARDDEMO,1,16,,,NO,,YES,,,,,TABLE,Credit or debit card number used for the authorization transaction - primary key component
AUTHFRDS,AUTH_TS,TIMESTAMP,TIMESTAMP,CARDDEMO,17,26,,,NO,,YES,,,,,TABLE,Timestamp when the authorization request was processed - primary key component
AUTHFRDS,AUTH_TYPE,CHAR,ALPHANUMERIC,CARDDEMO,43,4,,,YES,,NO,,,,,TABLE,"Type of authorization transaction being processed (e.g. purchase, refund, pre-auth)"
AUTHFRDS,CARD_EXPIRY_DATE,CHAR,ALPHANUMERIC,CARDDEMO,47,4,,,YES,,NO,,,,,TABLE,Expiration date of the card in MMYY format used to validate card validity
AUTHFRDS,MESSAGE_TYPE,CHAR,ALPHANUMERIC,CARDDEMO,51,6,,,YES,,NO,,,,,TABLE,"Type of message in the authorization protocol (e.g. request, response, reversal)"
AUTHFRDS,MESSAGE_SOURCE,CHAR,ALPHANUMERIC,CARDDEMO,57,6,,,YES,,NO,,,,,TABLE,Source system or channel that originated the authorization message
AUTHFRDS,AUTH_ID_CODE,CHAR,ALPHANUMERIC,CARDDEMO,63,6,,,YES,,NO,,,,,TABLE,Unique authorization identification code assigned to the transaction
AUTHFRDS,AUTH_RESP_CODE,CHAR,ALPHANUMERIC,CARDDEMO,69,2,,,YES,,NO,,,,,TABLE,Response code indicating approval or decline status of the authorization
AUTHFRDS,AUTH_RESP_REASON,CHAR,ALPHANUMERIC,CARDDEMO,71,4,,,YES,,NO,,,,,TABLE,Detailed reason code explaining the authorization response decision
AUTHFRDS,PROCESSING_CODE,CHAR,ALPHANUMERIC,CARDDEMO,75,6,,,YES,,NO,,,,,TABLE,ISO 8583 processing code defining the transaction type and account types involved
AUTHFRDS,TRANSACTION_AMT,DECIMAL,DECIMAL,CARDDEMO,81,7,12,2,YES,,NO,,,,,TABLE,Original transaction amount requested for authorization in currency units
AUTHFRDS,APPROVED_AMT,DECIMAL,DECIMAL,CARDDEMO,88,7,12,2,YES,,NO,,,,,TABLE,Actual amount approved for the transaction which may differ from requested amount
AUTHFRDS,MERCHANT_CATAGORY_CODE,CHAR,ALPHANUMERIC,CARDDEMO,95,4,,,YES,,NO,,,,,TABLE,Merchant Category Code (MCC) classifying the type of merchant business
AUTHFRDS,ACQR_COUNTRY_CODE,CHAR,ALPHANUMERIC,CARDDEMO,99,3,,,YES,,NO,,,,,TABLE,Three-character country code of the acquiring institution processing the transaction
AUTHFRDS,POS_ENTRY_MODE,SMALLINT,NUMERIC,CARDDEMO,102,2,,,YES,,NO,,,,,TABLE,"Point of sale entry mode indicating how card data was captured (chip, swipe, manual)"
AUTHFRDS,MERCHANT_ID,CHAR,ALPHANUMERIC,CARDDEMO,104,15,,,YES,,NO,,,,,TABLE,Unique identifier assigned to the merchant location processing the transaction
AUTHFRDS,MERCHANT_NAME,VARCHAR,ALPHANUMERIC,CARDDEMO,119,22,,,YES,,NO,,,,,TABLE,Business name of the merchant where the transaction occurred
AUTHFRDS,MERCHANT_CITY,CHAR,ALPHANUMERIC,CARDDEMO,141,13,,,YES,,NO,,,,,TABLE,City location of the merchant establishment
AUTHFRDS,MERCHANT_STATE,CHAR,ALPHANUMERIC,CARDDEMO,154,2,,,YES,,NO,,,,,TABLE,Two-character state or province code of the merchant location
AUTHFRDS,MERCHANT_ZIP,CHAR,ALPHANUMERIC,CARDDEMO,156,9,,,YES,,NO,,,,,TABLE,Postal or ZIP code of the merchant location
AUTHFRDS,TRANSACTION_ID,CHAR,ALPHANUMERIC,CARDDEMO,165,15,,,YES,,NO,,,,,TABLE,Unique identifier for the specific transaction in the authorization system
AUTHFRDS,MATCH_STATUS,CHAR,ALPHANUMERIC,CARDDEMO,180,1,,,YES,,NO,,,,,TABLE,Status indicator showing if transaction matched fraud detection rules or patterns
AUTHFRDS,AUTH_FRAUD,CHAR,ALPHANUMERIC,CARDDEMO,181,1,,,YES,,NO,,,,,TABLE,Flag indicating whether the authorization was identified as fraudulent (Y/N)
AUTHFRDS,FRAUD_RPT_DATE,DATE,DATE,CARDDEMO,182,10,,,YES,,NO,,,,,TABLE,Date when fraud was reported or detected for this authorization
AUTHFRDS,ACCT_ID,DECIMAL,DECIMAL,CARDDEMO,192,6,11,0,YES,,NO,,,,,TABLE,Account identifier linking the authorization to the cardholder account
AUTHFRDS,CUST_ID,DECIMAL,DECIMAL,CARDDEMO,198,5,9,0,YES,,NO,,,,,TABLE,Customer identifier linking the authorization to the cardholder customer record
